,ffrate,inf,gap
2014-03-31,0.08,1.6126949139408002,-3.50063789313437
2014-06-30,0.1,2.05898169459442,-2.6287759707136096
2014-09-30,0.09,1.68405097112321,-1.8828725642263702
2014-12-31,0.12,0.6531213919623101,-1.7761729493948
2015-03-31,0.11,-0.0220312844238787,-1.2911229144002199
2015-06-30,0.13,0.17957180975505602,-1.06939512589382
2015-09-30,0.14,0.00884296163417366,-1.15085814666355
2015-12-31,0.24,0.638724751536489,-1.4223077252127
2016-03-31,0.36,0.8916160965521971,-1.28837116764697
2016-06-30,0.38,1.07928653479594,-1.39493753540405
2016-09-30,0.4,1.54864462016522,-1.2649087342853502
2016-12-31,0.54,2.05079891151198,-1.04550499445061
2017-03-31,0.79,2.3882728494623597,-0.8843513786202221
2017-06-30,1.04,1.66346129829907,-0.862211830496506
2017-09-30,1.15,2.2286628851958703,-0.555002343177962
2017-12-31,1.3,2.10149317705049,-0.0318971276794431
2018-03-31,1.51,2.3592297531239,0.455823358487293
2018-06-30,1.82,2.83926655692864,0.668481331598537
2018-09-30,1.95,2.28431440148286,0.724778191607645
2018-12-31,2.27,1.9201892337003899,0.57947034914274
2019-03-31,2.41,1.85558499020107,0.8274992790566759
2019-06-30,2.38,1.70056380200039,0.715465002742848
2019-09-30,2.04,1.72454130532193,0.870835439009005
2019-12-31,1.55,2.26144883224485,0.988058060651708
2020-03-31,0.65,1.51172353008298,-0.7472702801193281
2020-06-30,0.08,0.727812295682057,-10.0796433226415
2020-09-30,0.09,1.40996055073052,-3.78112111825184
2020-12-31,0.09,1.3001398124731398,-3.1921751958364397
