,gdp,idpr,emp,unmp,lcst,cnst,cbc,clc,cpi,sppi,cgpi,expr,impr,cpis,rsal,gfcf,con,gexp,hrl,inv,ccc,cop,exp,imp,gdi,m3m,srt,crt,lrt,bfx
1998-12-31,0.805743685885369,-6.04589608786304,-1.2012506170808,0.9,-2.129493948389,-9.208940590833,-3.14458,-2.29343,0.612262448364225,-1.39405204460967,-2.21550855991944,-9.51008645533143,-14.6995708154506,-0.102052995577705,-5.42523234960817,-2.59721994638383,-0.004181722822898,1.88474662754728,-3.98834,-0.064640110855417,-0.949839999999995,-2.0,-5.88241,-7.39199,-0.552710326180714,4.60522580113381,0.5,0.25095,1.488,7.29015393552134
1999-01-31,,-6.20623639854717,-1.52809727242852,0.9,,-12.2694375240298,-3.07231,-1.92583,0.204285920826235,-1.30718954248365,-2.32088799192734,-11.151339608979,-16.4309031556039,0.0,-7.35840681492289,,,,-2.09388000000001,-4.25909494232443,-0.763919999999999,-1.0,,,,4.08149835299623,0.5,0.22526,1.91,6.73858223592043
1999-02-28,,-3.6999039920177,-1.38453931102687,1.0,,-9.32545237938379,-2.95346000000001,-1.51622,-0.102242382339906,-1.21381886087768,-2.12550607287449,-7.55555555555556,-11.7045454545455,-0.102052995577705,-4.39238582614592,,,,0.29913,-5.00000000000029,-0.678989999999999,-1.0,,,,5.01148503299668,0.5,0.17632,2.117,3.26647165343362
1999-03-31,-1.39002948162154,-0.315129164418567,-1.20481927710843,0.9,-1.94863699427449,-0.071113235440913,-2.81193,-1.11296,-0.407333666418102,-1.30232558139535,-1.82926829268294,-7.34753857457752,-10.4118993135012,0.102157250111644,-3.46739279176723,-1.31941347563695,0.594627274568822,3.13680052733507,0.59824999999999,-8.326105810928,-0.651439999999994,-1.0,-3.18441,-3.65797,-0.668949171470306,6.03710756881824,0.5,0.04091,1.816,5.48547538383912
1999-04-30,,-1.78946169690248,-0.894484015239357,0.7,,0.858305456024317,-2.65582000000001,-0.733339999999998,-0.101618915093301,-1.30475302889095,-1.8348623853211,-8.28488372093023,-10.0113765642776,0.0,-1.89460675578292,,,,0.89736999999999,-9.29626411815837,-0.628309999999999,-1.0,,,,6.61475979576909,0.5,0.03143,1.563,9.20689397895994
1999-05-31,,0.530227983068612,-1.05890138980807,0.600000000000001,,-1.76854228465742,-2.48990999999999,-0.398449999999997,-0.40524025811176,-1.21608980355473,-1.63265306122448,-8.39913854989233,-8.79368658399098,0.101938818021587,-3.48409572229359,,,,0.0,-6.57318141980735,-0.574839999999995,-0.666670000000003,,,,7.26659240828608,0.5,0.03,1.334,8.47650041625673
1999-06-30,0.39742156353344,-0.212091193227456,-1.32428405893064,0.7,-2.71884395009218,5.88524639786898,-2.31144999999999,-0.099599999999995,-0.305226806719677,-1.40056022408964,-1.73469387755102,-11.5465360391882,-10.7929515418502,0.101938818021587,-2.3840787174408,0.724403011406361,0.835421953629884,3.35341273825278,-3.98836,-7.77479892761403,-0.497569999999996,-0.333329999999997,-0.3345,2.65752,0.053921886496884,6.36668073931492,0.5,0.03,1.632,12.5932256059664
1999-07-31,,0.531354940101361,-1.34150380920835,0.7,,3.38814446150976,-2.11592,0.164500000000004,-0.102357078111089,-1.21608980355473,-1.43149284253578,-11.5330520393811,-10.0552486187845,0.204075491156736,-2.87563801455682,,,,-2.39302,-9.21169176262209,-0.409450000000007,0.0,,,,7.81321065754868,0.5,0.03,1.703,14.5673001413538
1999-08-31,,3.35495989879888,-0.778790389395195,0.3,,5.82245874569447,-1.9153,0.397999999999996,0.307375801487281,-1.22180451127821,-1.22699386503068,-15.6033287101248,-12.472647702407,0.0,-2.23474657816705,,,,0.59826,-11.2182296231377,-0.318690000000004,0.333329999999997,,,,7.32581113148719,0.5,0.03,1.878,24.1192630898513
1999-09-30,0.5282880383858,2.77777470673897,-0.415282392026578,0.3,-1.93352715626723,11.3159913465949,-1.72517000000001,0.602999999999994,-0.203287741245111,-1.2206572769953,-1.22699386503068,-14.2441860465116,-10.4903078677309,0.101938818021587,-2.11989513694685,-0.772289698358068,0.835583761967832,3.98907131383789,1.29622,-9.74955277280889,-0.228459999999998,0.666670000000003,3.55784,5.08442,0.295252191855054,7.29259790204241,0.5,0.0325,1.759,23.3807506053269
